"$tripes.txt","Information about Keeping Track of Your Money So It's Not Counterfieted"
"10code.txt","The official National ""Ten Code"" Signal"
"430pm.hum","Odd little event at 4:30pm"
"acronym.txt","A Collection of Modern Acronyms"
"acronyms","Collection of All Sorts of Internet and BBS Jargon"
"advert.txt","Choosing an Advertising Agency, by Don Kobes"
"afri.txt","African Words, Numerals, and Sentences (Used by Former Slaves in Georgia and South Carolina in the 1890s)"
"agency.txt","How to Start Your Own Travel Agency"
"agn101.txt","Booking An Agent 101"
"agora.txt","Agoraphobia: Description and Symptoms, from the Freedom from Fear Foundation"
"ai.txt","Some Thoughts on the Natural Language ESPERANTO"
"airbag.txt","Emegency Rescue Guidelines for Air Bag Equipped Cars"
"aj-life","Life Sucks: AJ's Philosophies and Ramblings by Robert Alan Seace (Agrajag/AJ)"
"aj-life2","Life Sucks II: The Rantings of a Madman, Robert Seace (Agrajag/AJ)"
"aj-life3","Life Sucks III: Life in the Real World, by Robert A. Seace (Agrajag/AJ)"
"alpine.txt","ALPINE 1810 CD Shuttle Control by Ole Buzzard (November 15, 1993)"
"alt_book.txt","A Small Collection of Alternative Reading Materials"
"amalgam.txt","Some Alternatives to Amalgam"
"amchap7.txt","The Eye Detector: Use Dialtion to Your Advantage"
"amtrak.txt","All-Time Amtrak Diesel Locomotive Roster as of August 29, 1990"
"amtrak1.txt","All-Time Amtrak Diesel Locomotive Roster as of August 29, 1990"
"amtrak2.txt","All-Time Amtrak Diesel Locomotive Roster as of August 29, 1990 (Part II)"
"annoy.txt","Gweed is annoted how people zip up collections of textfiles"
"antimatr","Balloon Campaign Will Seek Evidence of Antimatter Galaxy"
"anything.phk","How to Connect Anything to Anything, by Jason!"
"applic.txt","Crimefighters Membership Application"
"arctic.txt","Learn Esperanto!"
"armstech.txt","Jane's Fighting Ships 1990-1991 (Specifications of Warships)"
"arttext.fun","The art of writing textfiles. What you needed to know."
"arubyint","Introduction to Ruby's Pearls"
"arubypro","Ruby's Pearls: Promotional Blurb"
"ast-dece.txt","Short Biographical Sketches of Deceased Astronauts, from the Astronaut Fact Book (February, 1992)"
"ast-dorn.txt","Astronaut Birthplaces by State, from the Astronaut Fact Book (February, 1992)"
"ast-list.txt","Alphabetical List of Astronauts, from the Astronaut Fact Book (February, 1992)"
"ast-prog.txt","Background on the Astronaut Program, from the Astronaut Fact Book (February, 1992)"
"ast500hr.txt","Astronauts with More than 500 Hours in Space, from the Astronaut Fact Book (February, 1992)"
"astronau.txt","Requirements for Becoming an Astronaut: Announcement No. 3ACS-83 for Mission Specialist and Pilot Astronaut Candidates"
"attila.art","Attila the Hun and the Battle of Chalons by Arther Ferrill"
"auto","Suggestions for Auto Mar"
"autogide.txt","Buying Your Massachusetts Automobile Insurance"
"autoscam.txt","A Guy Takes his Fine Oldsmobile Out for a Ride and to the Mechanics of the Country"
"bathrm.txt","G Saintiny writes about the glories of the bathroom, from the Winter Solstace 1990 EV Will and Word"
"battery.txt","Glenn Sahlin's Introduction to Batteries"
"batteryn.ews","NiCAD Batteries: Facts and Fallacies, from Radio Communication, May 1988 (Posted on November, 1992)"
"bikaholc.txt","Are Your a Bikaholic? by Dick Sorensen (June 25, 1992)"
"bike.txt","Charlie Lear's Adventerous Day in Biking"
"bikelite.txt","Project for Building a Bike Light"
"billrights.fun","The Bill of Rights ""Lite"" by John Perry Barlow"
"blackbel","What Does a Black Belt Mean? by Reverend Kensho Furyua"
"blackhol.nas","Black Holes in Space, from the NASA SpaceLink BBS (November 16, 1988)"
"blackhol.txt","Black Holes in Space, from the NASA SpaceLink BBS (November 16, 1988)"
"blckjack.txt","Blackjack: Card Counting for the Complete Klutz, from Steven Jacobs"
"blkholes.fun","What Are Black Holes? by Andrew Fraknoi and Sherwood Harrington"
"blood","How to Make Realistic Blood (Recipes)"
"bodybild.txt","Bodybuilding Myths"
"bonsai.txt","The Timeless Art of Bonsai"
"bonsai_c.oll","How to Start a Bonsai Collection"
"bookshop.txt","R.A.B. Bookstore List of Cambridge and Boston (May 26, 1992)"
"boring.txt","How Not to Be Boring at a Party, by Jim Douglas"
"bpythons.txt","Ball Python Care in Captivity, by Melissa Kaplan and Kyle Wohlmut"
"brcredit.txt","How to Establish a Good Credit Rating, by Jay Anderson, Loan Broker 1986"
"brittish.txt","Table of British and Amrtican English Words"
"bulbs.txt","Summer Flowering Bulbs in the Home Landscape"
"burmese_python_faq.txt","Burmese Pythod: Care in Captivity (February 20, 1995)"
"bwash.txt","The Battle for Your Mind, by Dick Sutphen"
"car.txt","Buy a New Car in Europe"
"carcheck.dos","A Used Car Checklist: What to Check when you Buy a Used Car"
"carcodes.txt","Codes Used by Computers in GM Cars"
"cards3.txt","Mass Murderer Trading Cards Set III"
"carradio.txt","Working with Old Car Radios"
"cat_haiku.txt","A Collection of Cat Haikus"
"cchess.rul","Chinese Chess: Xiang Qi"
"celebrity.txt","The Celebrity Autograph Kit Version 1.0 by Louis Martinez (1993)"
"charitbl.txt","Tax Information: Regarding Charitable Contributions of Property other than Cash or Stock"
"charlen.art","Random Thoughts: A Charlen's Eye View of the Decades of Human Life by Charlen Kyle"
"chemburn.ana","Thoughts on Potential Chemical Hazards in the Workplace, and Treatment for Chemical Burns"
"chinesec.hum","A Collection of Chinese Curses"
"chinesez.odc","The Lunar Calendar"
"choosing.cat","Choosing a Cat, by R. Roger Breton and Nancy J. Creek"
"chronolo.gy","The Timeline of Akido Master Morihei Ueshiba"
"circadia.txt","The Owl and Lark Questionaire, determining your Circadian Rhythm, by Richard M. Coleman."
"cleaning","Some Clean-Up Tips"
"clubs.txt","Boston Area Nightclubs: Compiled April 16, 1990)"
"coldfuse.pat","Cold Nuclear Fusion Bibliography (March 1, 1992)"
"coldfusn.txt","The Consequences of Clean Cold Fusion"
"collect.phk","What you should know about Collection Agencies"
"collecti.txt","A List of Animal Collectives"
"college.txt","How to Get into College by Ian Osmond"
"color.cht","Chat of different colors and patterns of cat fur (Choose your cats!)"
"comics.fun","The Comic Book Collectors Handbook"
"comsec1.txt","COMSEC Bulletin #1 (February 17, 1990)"
"consult.how","How to be a Computer Consultant: A Guide"
"contacts.wrn","Do NOT wear contact lenses near Electric Arcs!"
"couch","How to be a Couch Potato in the Nineties by Francis U. Kaltenbaugh"
"cpoet-01.txt","Cyberpoet's Guide to Virtual Culture Part 1 (March 14, 1994)"
"cpoet-02.txt","Cyberpoet's Guide to Virtual Culture Part 2 (March 14, 1994)"
"cpoet-03.txt","Cyberpoet's Guide to Virtual Culture Part 4 (March 14, 1994)"
"cpoet-04.txt","Cyberpoet's Guide to Virtual Culture Part 4 (March 14, 1994)"
"cpoet-05.txt","Cyberpoet's Guide to Virtual Culture Part 5 (March 14, 1994)"
"cpoetkib.txt","Cyberpoet's Guide to Virtual Culture Journal (March 14, 1994)"
"crystal1.asc","Scanning Masers for Informational Retreval (December 22, 1990)"
"darkfaq.txt","The Star Wars: Dark Forces FAQ by Karsten A. Loepelmann (Version 1.0, February 10, 1995)"
"deadend.fun","Phiction by Tristan Farnon himself"
"dean1","Fairmount writes about James Dean"
"decsocsec.txt","Decoding Social Security Numbers (September 8, 1992)"
"dip.txt","Abbreviations for Map Regions"
"disable.rd","Neuropsychological Bases of Educational Disabilities: Implications for Diagnosis and Remediation, by Robert Zenhausern, Ph.D., February, 1990 (January 8, 1993)"
"disclmr.txt","A Very Massive Disclaimer"
"discover.txt","The Circumstances of Minor Planet Discovery, by Frederick Pilcher"
"divright.txt","Divine Rights by Paul W. Will AK Koordar"
"dma.nfo","How to Eliminate or Brush off Telemarketing Calls"
"doctmean.dos","The Doctrine of the Mean (Chung-Yung)"
"dod.faq","What does DOD Mean?"
"dream-is.txt","Dream Interpretation and Symbology by Raymond Buckland"
"eclair.txt","The Lotus Eclair: Too Fat to Race"
"electric.bas","A Primer for Homeowners: The Electrical System, April 1989 (Reprint in July 7, 1989)"
"ena!.hac","The ENA Vision: What IS Ena?"
"enbalm.txt","A Quick Lesson in Do It Yourself Embalming"
"eng-amer.txt","How ""Correct"" is British English? By Alex Gross (1992)"
"english.1st","Official English: A No Vote"
"english.txt","Here's your Pop Quiz... What do these words mean?"
"english1.txt","Excerpts from ""Crazy English"" by Richard Lederer"
